BldgDmgFnId,Source,ft04m,ft03m,ft02m,ft01m,ft00,ft01,ft02,ft03,ft04,ft05,ft06,ft07,ft08,ft09,ft10,ft11,ft12,ft13,ft14,ft15,ft16,ft17,ft18,ft19,ft20,ft21,ft22,ft23,ft24,Comment
105,FIA,0,0,0,0,18,22,25,28,30,31,40,43,43,45,46,47,47,49,50,50,50,51,51,52,52,53,53,54,54,
106,FIA (MOD.),7,7,7,11,17,21,29,34,38,43,50,50,54,55,55,57,58,60,62,63,65,67,69,70,72,74,76,77,79,
107,FIA,0,0,0,0,11,12,14,18,20,22,24,26,30,34,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56,
108,FIA (MOD.),4,4,8,14,19,21,26,29,34,39,44,50,55,57,59,61,63,65,66,68,69,71,72,74,75,77,79,80,82,
109,FIA,0,0,0,0,5,8,12,17,19,22,24,25,30,35,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56,
110,FIA (MOD.),3,3,6,10,12,14,20,25,31,36,38,41,44,48,50,52,54,56,57,59,61,63,65,67,69,71,73,75,77,
111,FIA,0,0,0,0,3,9,13,25,27,28,33,34,41,43,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,
112,FIA (MOD.),6,6,9,14,15,24,27,30,35,40,43,44,52,56,58,60,62,64,66,68,70,72,74,76,78,81,83,85,87,
113,FIA,0,0,0,0,8,10,14,26,28,29,41,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,
114,FIA (MOD.),7,7,10,14,17,21,29,34,38,43,47,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,
115,FIA,0,0,0,0,5,9,13,18,20,22,24,26,30,34,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,
116,FIA (MOD.),4,4,8,14,17,24,26,29,34,39,44,50,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,
117,FIA,0,0,0,0,4,8,12,17,19,22,24,25,30,35,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,
118,FIA (MOD.),3,3,6,10,11,14,20,25,31,36,38,41,44,47,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,
119,FIA,0,0,0,0,3,9,13,25,27,28,32,37,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,
120,FIA (MOD.),6,6,6,14,15,24,27,30,35,41,44,48,52,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,
121,FIA,0,0,0,0,6,10,18,23,27,32,39,39,43,44,44,46,47,48,49,50,51,52,53,54,55,56,57,58,59,
122,FIA,0,0,4,8,13,15,20,23,27,32,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,
123,FIA,0,0,3,5,7,9,15,20,26,31,33,36,39,43,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,
124,FIA,0,0,3,5,6,16,19,22,27,32,35,36,44,48,50,52,54,56,58,59,60,61,62,63,64,65,66,67,68,
125,FIA,0,0,0,0,6,10,18,23,27,32,39,39,43,44,44,46,47,48,49,50,51,52,53,54,55,56,57,58,59,
126,FIA,0,0,4,8,11,18,20,23,28,33,38,44,49,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,
127,FIA,0,0,3,5,6,9,15,20,26,31,33,36,39,42,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,
128,FIA,0,0,0,5,6,16,19,22,27,32,35,42,48,50,52,54,56,58,59,60,61,62,63,64,65,66,67,68,69,
129,USACE - IWR,0,0,0,3,13,23,32,40,47,53,59,63,67,71,73,75,77,79,80,81,81,82,82,83,83,83,84,84,84,
130,USACE - IWR,0,0,0,3,9,15,21,26,31,36,41,45,49,52,56,59,61,64,66,68,69,70,71,72,73,74,74,75,75,
131,USACE - IWR,0,0,0,6,7,9,13,17,23,29,36,42,49,56,63,69,74,78,82,84,85,85,86,86,87,87,88,88,89,
132,USACE - Chicago,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60,
133,USACE - Chicago,0,0,4,8,12,15,20,23,28,33,37,43,48,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,
134,USACE - Chicago,0,0,0,0,3,9,13,25,27,28,33,34,41,43,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,
135,USACE - Chicago,0,0,3,5,6,16,19,22,27,32,35,36,44,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,
136,USACE - Chicago,0,0,0,0,8,10,13,18,20,22,24,26,30,34,38,40,42,44,45,46,47,48,49,50,51,52,53,54,55,
137,USACE - Chicago,0,0,3,5,7,11,17,22,28,33,35,38,40,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,
138,USACE - Galveston,0,0,0,0,10,28,35,41,43,46,48,49,50,50,50,51,51,52,53,55,57,58,60,62,64,66,68,70,72,
139,USACE - Galveston,0,0,0,0,10,21,27,32,37,43,46,50,54,58,60,63,67,70,74,79,82,83,84,85,86,87,88,89,90,
140,USACE - Galveston,0,0,0,0,5,21,27,31,34,37,39,40,40,42,44,47,49,52,55,58,60,62,65,67,69,71,73,75,77,
141,USACE - New Orleans,0,0,0,1,12,42,48,53,54,73,73,73,73,78,78,80,80,80,80,80,80,80,80,80,80,80,80,80,80,
142,USACE - New Orleans,0,0,0,1,12,42,67,71,71,79,79,79,79,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,
143,USACE - New Orleans,0,0,0,0,1,22,28,31,33,48,48,48,48,56,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,
144,USACE - New Orleans,0,0,0,0,1,22,39,42,44,48,48,48,48,56,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,
145,USACE - New Orleans,0,0,0,1,13,46,53,58,59,80,80,80,80,86,86,88,88,88,88,88,88,88,88,88,88,88,88,88,88,
146,USACE - New Orleans,0,0,0,1,15,50,70,71,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,
147,USACE - New Orleans,0,0,0,0,1,23,31,35,36,53,53,53,53,62,62,64,64,64,64,64,64,64,64,64,64,64,64,64,64,
148,USACE - New Orleans,0,0,0,0,1,23,42,45,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,
149,USACE - New Orleans,0,0,0,0,0,42,58,78,84,87,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,
150,USACE - New Orleans,0,0,0,0,0,83,89,93,94,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,
151,USACE - New Orleans,0,0,0,0,0,50,66,81,86,90,91,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,
152,USACE - New Orleans,0,0,0,0,0,95,95,95,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,
153,USACE - New Orleans,0,0,0,4,21,42,52,53,57,67,67,67,67,74,74,84,84,84,84,84,84,84,84,84,84,84,84,84,84,
154,USACE - New Orleans,0,0,0,0,4,34,40,41,47,59,59,59,59,70,70,82,82,82,82,82,82,82,82,82,82,82,82,82,82,
155,USACE - New Orleans,0,0,0,4,21,62,66,66,69,72,72,72,72,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,
156,USACE - New Orleans,0,0,0,0,7,56,59,59,63,66,66,66,66,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,
157,USACE - New Orleans,0,0,0,1,6,18,22,23,29,36,36,36,39,42,46,55,55,68,68,68,68,68,68,68,68,68,68,68,68,
158,USACE - New Orleans,0,0,0,1,6,18,32,33,36,40,40,40,42,42,56,59,59,71,71,71,71,71,71,71,71,71,71,71,71,
159,USACE - New Orleans,0,0,0,0,1,15,19,21,22,34,34,34,35,38,40,48,51,57,57,57,57,57,57,57,57,57,57,57,57,
160,USACE - New Orleans,0,0,0,0,1,15,27,29,29,35,35,35,35,38,47,51,53,57,57,57,57,57,57,57,57,57,57,57,57,
161,USACE - New Orleans,0,0,0,1,6,19,25,25,31,39,39,39,43,46,51,60,60,75,75,75,75,75,75,75,75,75,75,75,75,
162,USACE - New Orleans,0,0,0,1,6,19,33,33,93,93,93,93,93,93,94,94,94,97,97,97,97,97,97,97,97,97,97,97,97,
163,USACE - New Orleans,0,0,0,0,1,16,21,23,25,38,38,38,39,41,44,52,57,62,62,62,62,62,62,62,62,62,62,62,62,
164,USACE - New Orleans,0,0,0,0,1,16,27,29,80,80,80,80,80,80,80,80,80,83,83,83,83,83,83,83,83,83,83,83,83,
165,USACE - New Orleans,0,0,0,0,0,38,50,67,73,76,78,78,78,78,78,86,88,91,92,92,92,92,92,92,92,92,92,92,92,
166,USACE - New Orleans,0,0,0,0,0,67,73,76,78,78,78,78,78,78,78,91,92,92,92,92,92,92,92,92,92,92,92,92,92,
