ID,BldgTypeID,TypicalHeight,ModerateMedian,ModerateBeta,ExtensiveMedian,ExtensiveBeta,CompleteMedian,CompleteBeta
1,1,14,3,0.65,3,0.65,3,0.65
2,2,24,3,0.78,3,0.78,15,0.65
3,3,24,3,0.78,3,0.78,15,0.65
4,4,60,3,0.62,27,0.35,51,0.35
5,5,156,3,0.65,75,0.36,147,0.35
6,6,24,3,0.78,3,0.78,15,0.65
7,7,60,3,0.62,27,0.35,51,0.35
8,8,156,3,0.65,75,0.36,147,0.35
9,9,15,3,0.65,3,0.65,3,0.65
10,10,24,3,0.78,3,0.78,15,0.65
11,11,60,3,0.62,27,0.35,51,0.35
12,12,156,3,0.65,75,0.36,147,0.35
13,13,24,3,0.78,3,0.78,15,0.65
14,14,60,3,0.62,27,0.35,51,0.35
15,15,156,3,0.65,75,0.36,147,0.35
16,16,20,3,0.78,3,0.78,13,0.65
17,17,50,3,0.62,23,0.35,43,0.35
18,18,120,3,0.65,53,0.36,113,0.35
19,19,20,3,0.78,3,0.78,13,0.65
20,20,50,3,0.62,23,0.35,43,0.35
21,21,120,3,0.65,53,0.36,113,0.35
22,22,20,3,0.78,3,0.78,13,0.65
23,23,50,3,0.62,23,0.35,43,0.35
24,24,120,3,0.65,53,0.36,113,0.35
25,25,15,3,0.65,3,0.65,3,0.65
26,26,20,3,0.78,3,0.78,13,0.65
27,27,50,3,0.62,23,0.35,43,0.35
28,28,120,3,0.65,53,0.36,113,0.35
29,29,20,3,0.78,3,0.78,13,0.65
30,30,50,3,0.62,23,0.35,43,0.35
31,31,20,3,0.78,3,0.78,13,0.65
32,32,50,3,0.62,23,0.35,43,0.35
33,33,120,3,0.65,53,0.36,113,0.35
34,34,15,3,0.65,3,0.65,3,0.65
35,35,36,3,0.65,15,0.49,27,0.56
36,36,10,3,0.59,3,0.59,3,0.59
