CASRN,Set,Mol Formula,Chem Name,logKow_exp,logKow_pred,Residual,Reference
3-43-5,,C16H19N3O3     ,TRPTOPHYL-PROLINE                       ,-0.98,-1.23,,Hansch et al; 1995
3-43-6,,C14H17N3O3     ,ALANYL-TRYPTOPHANE                      ,-2.21,-1.82,,Hansch et al; 1995
3-43-7,,C13H17N3O5     ,TYRGLYGLY                               ,-3.51,-3.61,,Hansch et al; 1995
3-43-8,,C14H20N2O4S1   ,METHIONYLTYROSINE                       ,-2.03,-1.79,,Hansch et al; 1995
3-43-9,,C14H20N2O3     ,PHEVAL                                  ,-1.68,-0.98,,Hansch et al; 1995
3-44-0,,C14H18N2O4     ,TYROSYLPROLINE                          ,-2.03,-1.78,,Hansch et al; 1995
69-53-4,,C16H19N3O4S1   ,AMPICILLIN                              ,-1.13,-0.88,,Hansch et al; 1995
556-50-3,,C4H8N2O3       ,GLYCINEGLYCYL                           ,-2.92,-4.43,,Hansch et al; 1995
556-33-2,,C6H11N3O4      ,GLYGLYGLY                               ,-2.68,-5.26,,Hansch et al; 1995
968-21-8,,C15H22N2O4     ,TYROSINELEUCYL                          ,-1.94,-0.97,,Hansch et al; 1995
1050-28-8,,C18H20N2O5     ,TYRTYR                                  ,-1.87,-1.14,,Hansch et al; 1995
2577-40-4,,C18H20N2O3     ,PHEPHE                                  ,-0.85,-0.18,,Hansch et al; 1995
2578-81-6,,C27H29N3O4     ,PHEPHEPHE                               ,-0.02,1.12,,Hansch et al; 1995
2667-02-9,,C36H38N4O5     ,PHEPHEPHEPHE                            ,1.63,2.42,,Hansch et al; 1995
3061-91-4,,C14H20N2O4     ,VALTYR                                  ,-2.52,-1.46,,Hansch et al; 1995
3303-31-9,,C12H24N2O3     ,LEULEU                                  ,-1.46,-0.79,,Hansch et al; 1995
3303-55-7,,C15H22N2O3     ,PHELEU                                  ,-1.17,-0.49,,Hansch et al; 1995
3511-16-8,,C19H23N3O4S1   ,VERSAPEN                                ,0.95,0.1,,Hansch et al; 1995
3063-05-6,,C15H22N2O3     ,LEUPHE                                  ,-1.15,-0.49,,Hansch et al; 1995
3918-94-3,,C10H20N2O3     ,VALVAL                                  ,-2.82,-1.78,,Hansch et al; 1995
3989-97-7,,C11H22N2O3     ,VALLEU                                  ,-2.05,-1.29,,Hansch et al; 1995
6403-35-6,,C11H20N2O3     ,LEUPRO                                  ,-1.76,-1.6,,Hansch et al; 1995
6665-16-3,,C9H18N2O4      ,SERLEU                                  ,-2.49,-2.66,,Hansch et al; 1995
6686-02-8,,C20H21N3O3     ,TRPPHE                                  ,-0.47,-0.12,,Hansch et al; 1995
7669-65-0,,C14H18N2O3     ,PHEPRO                                  ,-1.23,-1.3,,Hansch et al; 1995
10329-74-5,,C15H29N3O5     ,SERLEULEU                               ,-2.03,-1.67,,Hansch et al; 1995
10329-75-6,,C18H35N3O4     ,LEULEULEU                               ,-0.94,0.19,,Hansch et al; 1995
13116-21-7,,C20H23N3O4     ,GLYPHEPHE                               ,-1.33,-1.01,,Hansch et al; 1995
13123-35-8,,C17H23N3O3     ,TRPLEU                                  ,-0.73,-0.42,,Hansch et al; 1995
13485-59-1,,C8H14N2O3      ,PROLINEALANYL                           ,-2.71,-3.0,,Hansch et al; 1995
13588-95-9,,C11H22N2O3     ,LEUVAL                                  ,-2.05,-1.29,,Hansch et al; 1995
13589-02-1,,C14H18N2O3     ,PROPHE                                  ,-2.07,-0.96,,Hansch et al; 1995
14486-13-6,,C10H20N2O3S1   ,METVAL                                  ,-2.53,-2.11,,Hansch et al; 1995
14486-16-9,,C11H22N2O3S1   ,METLEU                                  ,-1.84,-1.62,,Hansch et al; 1995
15080-84-9,,C14H20N2O3S1   ,PHEMET                                  ,-1.59,-1.31,,Hansch et al; 1995
17355-10-1,,C15H22N2O4     ,TYRLEU                                  ,-1.74,-0.97,,Hansch et al; 1995
17355-18-9,,C18H20N2O4     ,PHETYR                                  ,-1.68,-0.66,,Hansch et al; 1995
19653-76-0,,C20H21N3O4     ,TRPTYR                                  ,-1.13,-0.6,,Hansch et al; 1995
20368-24-5,,C21H33N3O5     ,LEULEUTYR                               ,-1.34,0.02,,Hansch et al; 1995
20696-60-0,,C22H22N4O3     ,TRPTRP                                  ,-0.27,-0.05,,Hansch et al; 1995
20762-31-6,,C15H18N4O4     ,TRPGLYGLY                               ,-2.72,-3.07,,Hansch et al; 1995
21957-32-4,,C20H30N4O5     ,VALALAALAPHE                            ,-1.91,-1.73,,Hansch et al; 1995
24046-71-7,,C14H17N3O3     ,TRPALA                                  ,-1.98,-1.82,,Hansch et al; 1995
24205-68-3,,C26H42N4O5     ,LEULEUVALPHE                            ,-0.25,1.0,,Hansch et al; 1995
26787-78-0,,C16H19N3O5S1   ,AMOXICILLIN                             ,-1.99,-1.36,,Hansch et al; 1995
29727-65-9,,C9H18N2O3      ,ALAILE                                  ,-2.6,-2.19,,Hansch et al; 1995
36077-39-1,,C11H22N2O3S1   ,LEUMET                                  ,-1.87,-1.62,,Hansch et al; 1995
36077-41-5,,C12H24N2O3     ,LEUILE                                  ,-1.64,-0.79,,Hansch et al; 1995
37462-92-3,,C11H20N2O3     ,ILEPRO                                  ,-1.79,-1.6,,Hansch et al; 1995
40204-87-3,,C22H26N4O5     ,PHEGLYGLYPHE                            ,-1.51,-1.84,,Hansch et al; 1995
42537-99-5,,C12H24N2O3     ,ILEILE                                  ,-1.82,-0.79,,Hansch et al; 1995
50370-12-2,,C16H17N3O5S1   ,CEFADROXIL                              ,-2.06,-2.41,,Hansch et al; 1995
51762-05-1,,C16H19N3O5S1   ,CEFROXADINE                             ,-2.27,-3.31,,Hansch et al; 1995
51926-51-3,,C11H20N2O3     ,PROILE                                  ,-2.56,-1.27,,Hansch et al; 1995
52899-07-7,,C11H20N2O3     ,PROLEU                                  ,-2.41,-1.27,,Hansch et al; 1995
53994-73-3,,C15H14CL1N3O4S1,CEFACLOR                                ,-1.79,-1.99,,Hansch et al; 1995
58337-01-2,,C17H33N3O4     ,LEUCINYLVALINYLLEUCINE                  ,-1.57,-0.3,,Hansch et al; 1995
59227-86-0,,C10H18N2O3S1   ,PROLINEMETHIONYL                        ,-2.52,-2.43,,Hansch et al; 1995
59881-08-2,,C20H31N3O4S1   ,METLEUPHE                               ,-1.03,-0.32,,Hansch et al; 1995
64533-12-6,,C23H29N3O4     ,PHEVALPHE                               ,-0.76,0.32,,Hansch et al; 1995
66317-22-4,,C15H29N3O5     ,THRVALLEU                               ,-1.97,-1.74,,Hansch et al; 1995
70421-71-5,,C20H23N3O5     ,GLYPHETYR                               ,-1.96,-1.49,,Hansch et al; 1995
80638-46-6,,C20H23N3O5     ,TYRGLYPHE                               ,-1.86,-1.49,,Hansch et al; 1995
82848-32-6,,C16H23N3O4     ,PHEVALGLY                               ,-2.33,-1.81,,Hansch et al; 1995
84676-47-1,,C15H29N3O4     ,LEUALALEU                               ,-2.03,-1.21,,Hansch et al; 1995
85806-91-3,,C20H31N3O5     ,TYRLEUVAL                               ,-1.45,-0.47,,Hansch et al; 1995
85807-21-2,,C16H31N3O5     ,LEUILETHR                               ,-2.14,-2.25,,Hansch et al; 1995
85807-24-5,,C17H31N3O4     ,PROLEULEU                               ,-1.64,-0.28,,Hansch et al; 1995
86093-34-7,,C27H44N4O5     ,LEULEULEUPHE                            ,0.24,1.56,,Hansch et al; 1995
87742-93-6,,C29H32N4O5     ,PHEPHEGLYPHE                            ,0.17,0.29,,Hansch et al; 1995
109683-61-6,,C22H31N3O5S1   ,FPL63547XX                              ,1.62,2.5,,Hansch et al; 1995
117961-24-7,,C24H31N3O6     ,TYRTYRLEU                               ,-1.38,-0.15,,Hansch et al; 1995
121139-01-3,,C25H32N4O5     ,VALGLYPHEPHE                            ,-0.51,-0.44,,Hansch et al; 1995
126855-16-1,,C17H25N3O4     ,PHEVALALA                               ,-2.19,-1.39,,Hansch et al; 1995
126855-17-2,,C18H35N3O4     ,LEUILEILE                               ,-1.11,0.19,,Hansch et al; 1995
126855-18-3,,C23H26N4O4     ,TRPPHEALA                               ,-1.0,-0.53,,Hansch et al; 1995
126855-19-4,,C28H33N5O4     ,TRPTRPLEU                               ,0.36,0.93,,Hansch et al; 1995
126855-20-7,,C23H29N3O5     ,VALINYLPHENYLALANYLTYROSINE             ,-1.5,-0.16,,Hansch et al; 1995
126855-21-8,,C23H29N3O5     ,TYRVALPHE                               ,-1.37,-0.16,,Hansch et al; 1995
126855-22-9,,C18H27N3O5     ,ALATYRILE                               ,-2.04,-1.38,,Hansch et al; 1995
126855-23-0,,C20H31N3O5     ,ILETYRVAL                               ,-1.77,-0.47,,Hansch et al; 1995
126855-24-1,,C15H29N3O5     ,LEUSERLEU                               ,-2.35,-1.67,,Hansch et al; 1995
126855-25-2,,C15H29N3O5     ,ILESERLEU                               ,-2.28,-1.67,,Hansch et al; 1995
