CASRN,Set,Mol Formula,Chem Name,logKow_exp,logKow_pred,Residual,Reference
126855-26-3,,C15H29N3O5     ,ILESERILE                               ,-2.64,-1.67,,Hansch et al; 1995
126855-27-4,,C15H29N3O5     ,SERLEUILE                               ,-1.99,-1.67,,Hansch et al; 1995
126855-28-5,,C19H29N3O5     ,PHEILETHR                               ,-1.95,-1.94,,Hansch et al; 1995
126855-29-6,,C16H31N3O5     ,ILEILETHR                               ,-2.23,-2.25,,Hansch et al; 1995
126855-30-9,,C16H31N3O5     ,LEUTHRILE                               ,-2.3,-1.25,,Hansch et al; 1995
126855-31-0,,C16H31N3O5     ,THRLEUILE                               ,-1.66,-1.25,,Hansch et al; 1995
126855-32-1,,C17H31N3O4     ,LEUPROLEU                               ,-1.56,-1.32,,Hansch et al; 1995
126855-33-2,,C17H31N3O4     ,LEULEUPRO                               ,-1.58,-0.62,,Hansch et al; 1995
126999-78-8,,C16H31N3O4     ,LEUVALVAL                               ,-2.1,-0.79,,Hansch et al; 1995
143303-13-3,,C23H44N4O5     ,LEULEULEUVAL                            ,-0.51,0.69,,Hansch et al; 1995
143303-14-4,,C20H38N4O5     ,ALAVALLEULEU                            ,-1.74,-0.71,,Hansch et al; 1995
143303-15-5,,C20H30N4O5     ,ILEALAGLYPHE                            ,-1.78,-1.73,,Hansch et al; 1995
143303-16-6,,C23H36N4O5     ,LEULEUGLYPHE                            ,-0.42,-0.33,,Hansch et al; 1995
143303-17-7,,C22H42N4O5     ,ILEILEVALVAL                            ,-1.41,0.2,,Hansch et al; 1995
143303-18-8,,C23H36N4O5     ,ILEILEGLYPHE                            ,-0.99,-0.33,,Hansch et al; 1995
143303-19-9,,C18H34N4O5     ,ILEALAALAILE                            ,-2.82,-1.62,,Hansch et al; 1995
143303-20-2,,C22H42N4O5     ,VALLEUVALLEU                            ,-1.23,0.2,,Hansch et al; 1995
143303-21-3,,C28H43N5O5     ,TRPLEULEUVAL                            ,0.23,1.06,,Hansch et al; 1995
143303-22-4,,C25H37N5O5     ,TRPGLYLEULEU                            ,0.06,-0.26,,Hansch et al; 1995
143303-23-5,,C23H36N4O6     ,TYRILELEUGLY                            ,-1.49,-0.81,,Hansch et al; 1995
143303-24-6,,C26H42N4O6     ,ILETYRILEVAL                            ,-1.09,0.52,,Hansch et al; 1995
143303-25-7,,C25H40N4O5S1   ,VALMETPHEILE                            ,-0.63,0.18,,Hansch et al; 1995
143303-26-8,,C23H42N4O5     ,PROLEULEULEU                            ,-1.06,0.71,,Hansch et al; 1995
143303-27-9,,C23H42N4O5     ,LEUPROLEULEU                            ,-0.92,-0.33,,Hansch et al; 1995
143303-28-0,,C23H42N4O5     ,LEULEUPROLEU                            ,-1.0,-0.33,,Hansch et al; 1995
143303-29-1,,C23H42N4O5     ,LEULEULEUPRO                            ,-1.18,0.37,,Hansch et al; 1995
143303-30-4,,C19H34N4O5     ,ILEPROGLYILE                            ,-1.69,-2.14,,Hansch et al; 1995
143303-31-5,,C21H38N4O5     ,VALPROVALLEU                            ,-1.91,-1.31,,Hansch et al; 1995
143303-32-6,,C17H30N4O5     ,VALPROGLYVAL                            ,-2.83,-3.13,,Hansch et al; 1995
143303-33-7,,C22H32N4O6     ,TYRPROGLYILE                            ,-1.65,-2.32,,Hansch et al; 1995
143313-20-6,,C24H38N4O5     ,LEULEUALAPHE                            ,-1.0,0.62,,Hansch et al; 1995
143313-21-7,,C32H38N4O6     ,PHEVALTYRPHE                            ,-0.32,1.14,,Hansch et al; 1995
143313-22-8,,C24H38N4O6     ,VALPHELEUTHR                            ,-1.32,-1.37,,Hansch et al; 1995
143313-23-9,,C23H44N4O5S1   ,METILELEUILE                            ,-0.49,0.36,,Hansch et al; 1995
143313-24-0,,C27H31N5O6     ,TYRPROGLYTRP                            ,-1.25,-1.95,,Hansch et al; 1995
7093-67-6,,C10H17N5O6     ,"Glycine, N-[N-[N-(N-glycylglycyl)glycyl]",-3.31,-6.91,,Hansch et al; 1995
119766-66-4,,C20H23N3O4     ,"Glycine, N-(N-D-phenylalanyl-D-phenylala",-1.46,-1.01,,Sangster 1994
15686-71-2,,C16H17N3O4S1   ,Cephalexin                              ,-1.8,-1.93,,Hansch et al; 1995
90614-48-5,,C17H31N3O4     ,"L-Isoleucine, N-(1-L-isoleucyl-L-prolyl)",-1.65,-1.32,,Hansch et al; 1995
138848-42-7,,C29H32N4O5     ,"Glycine,PHE-PHE-PHE                     ",-0.66,0.29,,Hansch et al; 1995
