wave,earthshine_high,earthshine_med,earthshine_low
2000,1.041e-21,2.076e-22,8.030e-24
2500,2.070e-21,4.130e-22,1.598e-23
3000,1.935e-19,3.860e-20,1.493e-21
3500,1.127e-18,2.249e-19,8.698e-21
4000,2.246e-18,4.481e-19,1.733e-20
4500,3.505e-18,6.992e-19,2.704e-20
5000,3.559e-18,7.100e-19,2.746e-20
5500,3.451e-18,6.884e-19,2.663e-20
6000,3.275e-18,6.533e-19,2.527e-20
7000,2.639e-18,5.264e-19,2.036e-20
8000,2.111e-18,4.211e-19,1.629e-20
9000,1.664e-18,3.320e-19,1.284e-20
10000,1.349e-18,2.691e-19,1.041e-20
11000,1.085e-18,2.165e-19,8.375e-21
12000,8.999e-19,1.795e-19,6.944e-21
13000,7.551e-19,1.506e-19,5.827e-21
14000,6.360e-19,1.269e-19,4.908e-21
15000,5.372e-19,1.072e-19,4.145e-21
16000,4.533e-19,9.043e-20,3.498e-21
17000,3.775e-19,7.531e-20,2.913e-21

# wavelength unit as AA
# spectrum unit as erg/s/cm^2/A/arcsec^2
# high, med, and low levels corresponding to the limb angles of 80, 60 and 40 degree.
# earth shine template and variation curve come from HST.
