name                                               ,filename
#Dwarf Gliese 229B                                  ,gl229b_001.dat
#Dwarf Gliese 752B                                  ,gl752b_v10_M8_001.asc
#Dwarf Gliese 411                                   ,gl411_M2_001.asc
#Dwarf Gliese 406                                   ,gl406_M6_001.asc
Orion Nebula                                       ,orion_001.fits
Orion Nebula II                                    ,orion_smooth_001.fits
Planetary Nebula (NGC 7009) including point source ,pn_smooth_001.fits
Planetary Nebula Extended Emission [1]             ,pn_nebula_only_smooth.fits
Elliptical Galaxy with a strong UV upturn [1]      ,elliptical_001.fits
Elliptical Galaxy (model #2) [1]                   ,egal_001.dat
Elliptical Benitez 2004a [2]                       ,el_cb2004a_001.fits
Elliptical CWW FUV [3]                             ,el_cww_fuv_001.fits
Irregular (Im) CWW [3]                             ,im_cb2004a_001.fits
Spiral Galaxy [1]                                  ,spiral_001.fits
Spiral S0 CWW FUV [1]                              ,s0_fuv_1_001.fits
Spiral Sa CWW FUV [1]                              ,sa_fuv_1_001.fits
Spiral Sbc Benitez 2004a [2]                       ,sbc_cb2004a_001.fits
Spiral Sbc CWW [3]                                 ,sbc_cww_001.fits
Spiral Scd Benitez 2004a [2]                       ,scd_cb2004a_001.fits
Starburst SB2 Kinney Recalibrated [4]              ,sb2_b2004a_001.fits
Starburst SB3 Kinney Recalibrated [4]              ,sb3_b2004a_001.fits
SSP 25 Myr 0.4 Zsun BC [5]                         ,ssp_25myr_z008_001.fits
SSP 5 Myr 0.4 Zsun BC [5]                          ,ssp_5myr_z008_001.fits
NGC 1068 Type-2 Seyfert Galaxy [1]                 ,ngc1068_template_001.fits
Starburst1 E(B-V) = 0-0.10                         ,sb1_kinney_fuv_001.fits
Starburst2 E(B-V) = 0.11-0.21                      ,sb2_kinney_fuv_001.fits
Starburst3 E(B-V) = 0.25-0.35                      ,sb3_kinney_fuv_001.fits
Starburst4 E(B-V) = 0.39-0.50                      ,sb4_kinney_fuv_001.fits
Starburst5 E(B-V) = 0.51-0.60                      ,sb5_kinney_fuv_001.fits
Starburst6 E(B-V) = 0.61-0.70                      ,sb6_kinney_fuv_001.fits
BC 2003 Z=0.2 Tau=0.6 age=1.01519 Gyr              ,tau06_z02_1015_190_001.fits
BC 2003 Z=0.2 Tau=0.6 age=2.5 Gyr                  ,tau06_z02_2500_000_001.fits
BC 2003 Z=0.2 Tau=0.6 age=4.5 Gyr                  ,tau06_z02_4500_000_001.fits
BC 2003 Z=0.2 Tau=0.6 age=5.0 Gyr                  ,tau06_z02_5000_000_001.fits
BC 2003 Z=0.2 Tau=0.6 age=6.0 Gyr                  ,tau06_z02_6000_000_001.fits
BC 2003 Z=0.2 Tau=0.6 age=8.0 Gyr                  ,tau06_z02_8000_000_001.fits
BC 2003 Z=0.2 Tau=0.6 age=12.0 Gyr                 ,tau06_z02_12000_000_001.fits
#QSO (COS based)                                    ,qso_template.dat
#QSO (LBQS based)                                   ,qso_template_001.fits
#QSO (FOS based)                                    ,qso_fos_001.dat
QSO (SDSS based) Vanden Berk et al. (2001)         ,qso_sdss.dat
#QSO (IRTF based) Glikman Helfand and White (2006)  ,qso_irtf_template.dat
Ultra Luminous IR Galaxy IRAS05189-2524            ,05189m2524_fullsed_001.fits
Ultra Luminous IR Galaxy IRAS12112+0305            ,12112p0305_fullsed_001.fits
Ultra Luminous IR Galaxy IRAS14348-1447            ,14348m1447_fullsed_001.fits
Ultra Luminous IR Galaxy IRAS15250+3609            ,15250p3609_fullsed_001.fits
Ultra Luminous IR Galaxy IRAS22491-1808            ,22491m1808_fullsed_001.fits
Merger ARP220                                      ,arp220_fullsed_001.fits
Merger M82                                         ,m82_fullsed_001.fits
Ultra Luminous IR QSO MRK1014                      ,mrk1014_fullsed_001.fits
Type-1 Seyfert Galaxy MRK231                       ,mrk231_fullsed_001.fits
Merger MRK273                                      ,mrk273_fullsed_001.fits
Ultra Luminous IR Galaxy MRK463                    ,mrk463_fullsed_001.fits
Ultra Luminous IR Galaxy (merger) NGC6240          ,ngc6240_fullsed_001.fits
Peculiar Galaxy UGC5101                            ,ugc5101_fullsed_001.fits
